Order,Video,time_s,time_e,,hand gesture,,video editing,,time adjustment,
,,1:56,1:58,Y,shaping,Y,labeling,Y,pause,split
,,1:59,2:14,Y,pointing,Y,labeling,Y,pause,
,,2:14,2:19,N,,Y,labeling,Y,pause,
,,2:19,2:23,Y,moving,Y,labeling,N,,
,,2:23,2:26,N,,Y,labeling,N,,
,,2:26,2:28,N,,Y,labeling,Y,pause,
,,2:28,2:34,Y,pointing,Y,labeling,Y,pause,
5,"Hans Rosling: The good news of the decade?;TED, Oct 7, 2010",7:19,11:02,,,Y,labeling,,,
,,7:19,7:25,Y,shaping,Y,labeling,,,
,,7:29,7:36,Y,pointing,Y,labeling,,,
,,7:36,7:38,,,Y,labeling,,,
,,7:38,7:50,,,Y,tracing,,,
,,7:50,8:04,Y,moving,Y,tracing,,,
,,8:08,8:12,Y,moving,Y,labeling,,,
,,8:12,8:15,Y,pointing,Y,labeling,,,
,,8:15,8:44,,,Y,labeling,,,
,,8:44,8:49,Y,pointing,Y,labeling,,,
,,8:49,9:00,,,Y,labeling,,,
,,9:00,9:08,,,Y,tracing,Y,go backward,
,,9:08,9:11,Y,moving,Y,tracing,Y,go backward,
,,9:11,9:15,,,Y,tracing,Y,go backward,
,,9:15,9:22,Y,moving,Y,tracing,Y,go backward,
,,9:22,9:25,Y,shaping,Y,labeling,,,
,,9:32,9:42,Y,pointing,Y,labeling,,,
,,9:53,9:55,Y,pointing,Y,labeling,,,
,,10:05,10:07,,,Y,tracing,Y,go backward,
,,10:07,10:09,Y,shaping,Y,tracing,Y,go backward,
,,10:09,10:10,Y,moving,Y,tracing,Y,go backward,
,,10:38,10:43,,,Y,tracing,Y,go backward,
,,10:50,10:57,Y,shaping,Y,labeling,,,
,,10:57,11:02,Y,pointing,Y,labeling,,,
,,11:12,11:26,Y,moving,,,,,
,,11:41,12:08,,,Y,labeling,,,
,,11:44,11:49,Y,moving,Y,labeling,,,
,,11:53,11:54,Y,pointing,Y,labeling,,,
,,11:54,11:56,Y,moving,Y,labeling,,,
,,12:04,12:08,Y,moving,Y,labeling,,,
,,12:16,12:41,Y,moving,,,,,
,,13:16,13:18,Y,pointing,,,,,
,,13:48,13:49,,,Y,flickering,,,
,,13:49,13:55,Y,moving,Y,flickering,,,
,,14:28,14:35,Y,moving,,,,,
,,15:08,15:13,Y,moving,,,,,
-1,"Sustainable Development: Demystifying the Facts;Davos 2015-World Economic Forum, Jan 23, 2015",6:38,6:47,Y,pointing,,,,,https://www.youtube.com/watch?v=3pVlaEbpJ7k
,,6:47,6:50,Y,moving,,,,,
,,6:52,6:59,Y,pointing,,,,,
,,7:08,7:15,Y,moving,,,,,
,,7:15,7:16,Y,pointing,,,, ,
,,7:19,7:20,Y,pointing,,,,,
,,7:20,7:23,Y,moving,,,,,
,,7:34,7:38,,,,,Y,move fast,
,,7:38,8:03,Y,moving,,,Y,move fast,
,,8:14,8:19,Y,pointing,,,,,
,,8:33,8:40,Y,pointing,Y,labeling,Y,go backward,
,,8:40,8:46,,,Y,labeling,,,
,,8:46,8:53,Y,pointing,Y,labeling,,,
,,8:53,9:11,,,Y,labeling,,,
,,9:11,9:12,Y,pointing,Y,labeling,,,
,,9:12,9:15,,,Y,labeling,,,
,,9:15,9:20,,,Y,tracing,Y,move fast,
,,9:20,9:22,Y,moving,Y,tracing,Y,move fast,
,,9:22,9:26,,,Y,tracing,Y,move fast,
,,9:49,10:10,Y,pointing,Y,labeling,,,tracing  animation added
,,10:10,10:13,,,Y,labeling,,,
,,10:13,10:32,Y,pointing,Y,labeling,,,
,,10:32,10:35,,,Y,labeling,,,
,,10:35,10:38,Y,pointing,Y,labeling,,,
,,10:38,10:41,,,Y,labeling,,,
,,11:14,11:15,,,Y,labeling,,,
